Year,Month,Nino34
1975, 2, -0.33
1975, 3, -0.59
1975, 4, -0.59
1975, 5, -1.00
1975, 6, -1.25
1975, 7, -1.24
1975, 8, -1.16
1975, 9, -1.44
1975, 10, -1.47
1975, 11, -1.46
1975, 12, -1.64
1976, 1, -1.80
1976, 2, -1.05
1976, 3, -0.68
1976, 4, -0.42
1976, 5, -0.49
1976, 6, 0.00
1976, 7, 0.15
1976, 8, 0.31
1976, 9, 0.57
1976, 10, 0.86
1976, 11, 0.88
1976, 12, 0.64
1977, 1, 0.84
1977, 2, 0.55
1977, 3, 0.40
1977, 4, -0.25
1977, 5, -0.03
1977, 6, 0.36
1977, 7, 0.45
1977, 8, 0.25
1977, 9, 0.44
1977, 10, 0.89
1977, 11, 1.03
1977, 12, 1.09
1978, 1, 0.72
1978, 2, 0.51
1978, 3, 0.06
1978, 4, -0.37
1978, 5, -0.49
1978, 6, -0.45
1978, 7, -0.48
1978, 8, -0.62
1978, 9, -0.60
1978, 10, -0.34
1978, 11, -0.15
1978, 12, 0.07
1979, 1, 0.05
1979, 2, 0.09
1979, 3, 0.13
1979, 4, 0.17
1979, 5, -0.09
1979, 6, 0.04
1979, 7, -0.20
1979, 8, 0.21
1979, 9, 0.48
1979, 10, 0.32
1979, 11, 0.35
1979, 12, 0.69
1980, 1, 0.55
1980, 2, 0.33
1980, 3, 0.09
1980, 4, 0.20
1980, 5, 0.13
1980, 6, 0.37
1980, 7, 0.02
1980, 8, -0.23
1980, 9, -0.12
1980, 10, -0.11
1980, 11, 0.10
1980, 12, 0.36
1981, 1, -0.45
1981, 2, -0.45
1981, 3, -0.02
1981, 4, -0.17
1981, 5, -0.11
1981, 6, -0.15
1981, 7, -0.43
1981, 8, -0.18
1981, 9, -0.07
1981, 10, -0.03
1981, 11, -0.27
1981, 12, 0.07
1982, 1, -0.04
1982, 2, -0.13
1982, 3, -0.02
1982, 4, 0.24
1982, 5, 0.65
1982, 6, 0.92
1982, 7, 0.64
1982, 8, 0.93
1982, 9, 1.39
1982, 10, 2.00
1982, 11, 2.07
1982, 12, 2.33
1983, 1, 2.43
1983, 2, 2.22
1983, 3, 1.69
1983, 4, 1.12
1983, 5, 1.12
1983, 6, 0.62
1983, 7, -0.11
1983, 8, -0.13
1983, 9, -0.50
1983, 10, -1.03
1983, 11, -1.13
1983, 12, -0.95
1984, 1, -0.80
1984, 2, -0.53
1984, 3, -0.48
1984, 4, -0.60
1984, 5, -0.64
1984, 6, -0.90
1984, 7, -0.40
1984, 8, -0.40
1984, 9, -0.35
1984, 10, -0.83
1984, 11, -1.18
1984, 12, -1.53
1985, 1, -0.89
1985, 2, -0.91
1985, 3, -0.96
1985, 4, -0.98
1985, 5, -0.90
1985, 6, -0.76
1985, 7, -0.61
1985, 8, -0.49
1985, 9, -0.57
1985, 10, -0.64
1985, 11, -0.43
1985, 12, -0.40
1986, 1, -0.79
1986, 2, -0.64
1986, 3, -0.51
1986, 4, -0.41
1986, 5, -0.47
1986, 6, -0.08
1986, 7, 0.16
1986, 8, 0.24
1986, 9, 0.59
1986, 10, 0.90
1986, 11, 1.04
1986, 12, 0.98
1987, 1, 1.19
1987, 2, 1.17
1987, 3, 1.24
1987, 4, 0.89
1987, 5, 0.91
1987, 6, 1.24
1987, 7, 1.34
1987, 8, 1.48
1987, 9, 1.53
